good,bad,bad but interesting,,,
1,22,,,11,25
7,25,,,29,48
11,41,,,83,41
12,48,,,93,79
13,55,,,115,86
14,68,,,123,155
17,79,,,30,44
18,86,,,156,81
19,104,,,172,55
24,15,,,137,68
29,16,,,18,104
30,20,,,171,22
35,21,,,24,
42,23,,,96,
57,26,,,119,
60,27,,,151,
62,28,,,177,
65,31,,,190,
67,32,,,17,
73,33,,,57,
78,34,,,60,
83,36,,,73,
93,37,,,129,
96,38,,,150,
99,39,,,,
102,40,,,,
108,43,,,,
115,44,,,,
118,45,,,,
119,46,,,,
123,47,,,,
125,49,,,,
129,50,,,,
132,51,,,,
137,52,,,,
144,53,,,,
146,54,,,,
148,56,,,,
150,58,,,,
151,59,,,,
155,61,,,,
156,63,,,,
160,64,,,,
161,66,,,,
164,2,,,,
171,3,,,,
172,4,,,,
177,5,,,,
178,6,,,,
180,8,,,,
181,9,,,,
189,10,,,,
190,,,,,
191,,,,,
