snapchat caption data,,,,coco caption data,,
,,,,,,
good,bad,meaningless,,good,bad,meaningless
0,1,4,,1,0,
5,2,9,,2,5,
7,3,53,,3,10,
11,6,65,,4,24,
13,8,71,,6,38,
16,10,77,,7,42,
19,12,79,,8,50,
25,14,96,,9,57,
26,15,18,,11,60,
34,17,20,,12,62,
35,,24,,13,65,
36,,29,,14,72,
38,21,37,,15,93,
44,22,40,,16,,
50,23,43,,17,,
54,,46,,18,,
55,27,49,,19,,
57,28,51,,20,,
61,,67,,21,,
62,30,72,,22,,
63,31,76,,23,,
68,32,83,,25,,
73,33,95,,26,,
74,,,,27,,
75,39,,,28,,
78,,,,29,,
80,41,,,30,,
82,42,,,31,,
84,,,,32,,
85,45,,,33,,
86,,,,34,,
89,47,,,35,,
90,48,,,36,,
91,,,,37,,
92,,,,39,,
98,52,,,40,,
99,56,,,41,,
,58,,,43,,
,59,,,44,,
,60,,,45,,
,64,,,46,,
,66,,,47,,
,,,,48,,
,69,,,49,,
,,,,51,,
,,,,52,,
,,,,53,,
,81,,,54,,
,,,,55,,
,87,,,56,,
,88,,,58,,
,93,,,59,,
,94,,,61,,
,,,,63,,
,97,,,64,,
,,,,66,,
,,,,67,,
,,,,68,,
,,,,69,,
,,,,70,,
,,,,71,,
,,,,73,,
,,,,74,,
,,,,75,,
,,,,76,,
,,,,77,,
,,,,78,,
,,,,79,,
,,,,80,,
,,,,81,,
,,,,82,,
,,,,83,,
,,,,84,,
,,,,85,,
,,,,86,,
,,,,87,,
,,,,88,,
,,,,89,,
,,,,90,,
,,,,91,,
,,,,92,,
,,,,94,,
,,,,95,,
,,,,96,,
,,,,97,,
,,,,98,,
,,,,99,,
